Origin,Price,Q-Score,Processing Method,Coffee Variety,Fragrance,Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Cuppers Correction,Final
Africa,6.15,88.1,Dry Process,Bourbon Types,8.86090698,9.03051318,7.57800048,8.95917738,9.05619088,8.62249418,8.65163558,8.09300648,9.25322478,7.99485008,2,87.5074592
Africa,5.75,87.8,Wet Process,Bourbon Types,8.49663942,8.60653322,8.70587842,8.70587842,9.03290572,8.51048012,8.56705972,8.49403112,8.68654932,7.99404452,2,87.4901208
Africa,6.15,87.9,Wet Process,Bourbon Types,8.69225971,8.60988231,8.81715771,8.81728741,8.33411881,8.62366571,8.56275551,8.48839371,8.76762861,8.18685051,2,87.4763499
Central America,6.4,87.8,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.61038762,8.70927412,8.60815312,8.79639412,8.80899692,8.61038762,8.66971852,8.49706152,8.49706152,8.49256492,1.5,87.4580718
Central America,6.7,87.8,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.59701936,8.70974746,8.50788226,8.70936696,8.80947226,8.51397916,8.75877206,8.49753116,8.70319476,8.49303456,1.5,87.4538144
Africa,5.75,87.8,Wet Process,Bourbon Types,8.58914869,8.71322169,8.61679379,8.71791099,8.72153209,8.60320869,8.55459989,8.29978199,8.79591009,8.18789209,2,87.4451551
Indonesia & Asia,7.35,87.8,Honey Process,N/A,8.70930232,8.71130982,8.72820792,8.89916452,8.81102982,8.70930232,8.56380402,8.38525902,8.78801382,8.49460642,1,87.4369708
South America,6.05,87.8,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.69573205,8.71157935,8.61045835,8.79869935,9.31497095,8.51581475,8.67202375,8.19302085,8.78828525,7.99941535,1.5,87.4350195
Indonesia & Asia,6.75,87.8,Other Processes,"Typica Types, Modern Hybrids",8.68135729,8.89921659,8.22035209,9.01681319,9.03755369,8.51533409,8.53313919,7.51007599,9.57520669,7.81095119,2,87.4318061
Africa,5.9,87.8,Wet Process,Bourbon Types,8.69689031,8.81246901,8.41011761,8.71235891,8.81246901,8.61384531,8.56521841,8.38665631,8.78945011,8.00052501,2,87.4253159
Africa,6.05,87.8,Honey Process,Bourbon Types,8.50376466,8.71337366,8.52474836,8.90123706,8.90161856,8.51760536,8.55479766,8.29977656,8.88188126,8.00119686,2,87.4175524
Central America,6.75,87.8,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.5037575,8.8018742,8.5247403,8.8004714,9.5049592,8.5175973,8.6738005,8.5011502,8.6936475,8.2780019,1,87.416298
South America,6,87.7,Wet Process,"Caturra Types, Bourbon Types",8.60040702,8.71314182,8.52450702,8.80026762,8.90139712,8.61424772,8.57394262,8.50091402,8.69343222,8.27774282,1.5,87.3212918
Oceania,6.15,87.6,Wet Process,"Bourbon Types, Typica Types",8.38761866,8.60791166,8.73757136,8.73757136,9.05337386,8.22162116,8.63804116,7.98852356,8.75846826,8.46929896,2,87.3188034
South America,6.25,87.6,Wet Process,Typica Types,8.58411553,8.71041543,8.52580223,8.72717623,8.74093493,8.22445353,8.56339033,8.48568583,8.67381433,8.36421163,2,87.2904797
Central America,6.6,87.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.60744517,8.60661357,8.51770257,8.70595977,8.80607267,8.39983027,8.66678097,8.30587337,8.49410957,8.48961207,2,87.2897843
Central America,6.7,87.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.70628343,8.70829183,8.50642663,8.70791133,9.03492153,8.51252353,8.56909933,8.49607553,8.37795053,8.48051633,1.5,87.2683707
Africa,6.45,87.6,Dry Process,Bourbon Types,8.48970094,8.80131304,8.52821984,8.72959384,9.05862384,8.62803234,8.50495964,7.49944414,9.17056234,8.18955004,2,87.2663036
Central America,6.6,87.6,Wet Process,"Caturra Types, Bourbon Types",8.49894616,8.70855516,8.60743136,8.70817466,8.60883426,8.40206616,8.66899866,8.30811686,8.59703446,8.49184226,2,87.2657374
Central America,5.95,86.6,Wet Process,Caturra Types,8.3622852,8.3622852,8.3622852,8.3622852,8.3622852,8.3622852,8.3622852,8.3394332,8.3622852,8.3622852,3,87.265097
Central America,6.85,87.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.70782166,8.79834816,8.60871296,8.79694536,8.80954816,8.61094736,8.48206786,8.49762606,8.78653216,8.50145026,1,87.2513104
Africa,5.75,87.6,Wet Process,Bourbon Types,8.58404379,8.79914879,8.71023869,8.71023869,8.52236389,8.51484039,8.57141999,8.49839139,8.69090959,7.99840479,2,87.2465181
Oceania,6.5,87.6,Wet Process,Bourbon Types,8.50137993,8.61126613,8.79810423,8.79810423,9.03760813,8.51521963,8.67142863,8.38492393,8.78769013,8.49427503,1,87.2409707
South America,6.25,87.6,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.60091824,8.71364634,8.51178114,8.71326584,8.81337114,8.51787804,8.56613394,8.38330504,8.50143004,8.27827024,2,87.2148256
South America,6.25,87.5,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.58254792,8.60105592,8.73883612,8.73883612,9.24279002,8.52721572,8.75826342,8.48411822,8.57160552,8.25473102,1,87.2061558
